HP,210
HSIC,211
HSY,212
HES,213
HPE,214
HOLX,215
HD,216
HON,217
HRL,218
HST,219
HPQ,220
HUM,221
HBAN,222
HII,223
IDXX,224
ITW,225
ILMN,226
IR,227
ICE,228
IBM,229
INCY,230
IP,231
IPG,232
IFF,233
INTU,234
ISRG,235
IVZ,236
IPGP,237
IRM,238
JEC,239
JBHT,240
SJM,241
JNJ,242
JCI,243
JPM,244
JNPR,245
KSU,246
K,247
KEY,248
KMB,249
KIM,250
KMI,251
KLAC,252
KSS,253
KHC,254
KR,255
LB,256
LLL,257
LH,258
LRCX,259
LEG,260
LEN,261
LUK,262
LLY,263
LNC,264
LKQ,265
LMT,266
L,267
LYB,268
MTB,269
MAC,270
M,271
MRO,272
MPC,273
MAR,274
MMC,275
MLM,276
MAS,277
MA,278
MAT,279
MKC,280
MCD,281
MCK,282
MDT,283
MRK,284
MET,285
MTD,286
MGM,287
KORS,288
MCHP,289
MU,290
MSFT,291
MAA,292
MHK,293
TAP,294
MDLZ,295
MON,296
MNST,297
MCO,298
MS,299
MOS,300
MSI,301
MYL,302
NDAQ,303
NOV,304
NAVI,305
NTAP,306
NFLX,307
NWL,308
NFX,309
NEM,310
NWSA,311
NWS,312
NEE,313
NLSN,314
NKE,315
NI,316
NBL,317
JWN,318
NSC,319
NTRS,320
NOC,321
NCLH,322
NRG,323
NUE,324
NVDA,325
ORLY,326
OXY,327
OMC,328
OKE,329
ORCL,330
PCAR,331
PKG,332
PH,333
PDCO,334
PAYX,335
PYPL,336
PNR,337
PBCT,338
PEP,339
PKI,340
PRGO,341
PFE,342
PCG,343
PM,344
PSX,345
PNW,346
PXD,347
PNC,348
RL,349
PPG,350
PPL,351
PX,352
PFG,353
PG,354
PGR,355
PLD,356
PRU,357
PEG,358
PSA,359
PHM,360
PVH,361
QRVO,362
PWR,363
DGX,364
RRC,365
RJF,366
RTN,367
O,368
RHT,369
REG,370
REGN,371
RF,372
RSG,373
RMD,374
RHI,375
ROK,376
COL,377
ROP,378
ROST,379
RCL,380
CRM,381
SBAC,382
SCG,383
SLB,384
STX,385
SEE,386
SRE,387
SHW,388
SIG,389
SPG,390
SWKS,391
SLG,392
SNA,393
SO,394
LUV,395
SPGI,396
SWK,397
SBUX,398
STT,399
SRCL,400
SYK,401
STI,402
SYMC,403
SYF,404
SNPS,405
SYY,406
TROW,407
TGT,408
TEL,409
FTI,410
TXN,411
TXT,412
TMO,413
TIF,414
TWX,415
TJX,416
TMK,417
TSS,418
TSCO,419
TDG,420
TRV,421
TRIP,422
FOXA,423
FOX,424
TSN,425
UDR,426
ULTA,427
USB,428
UAA,429
UA,430
UNP,431
UAL,432
UNH,433
UPS,434
URI,435
UTX,436
UHS,437
UNM,438
VFC,439
VLO,440
VAR,441
VTR,442
VRSN,443
VRSK,444
VZ,445
VRTX,446
VIAB,447
V,448
VNO,449
VMC,450
WMT,451
WBA,452
DIS,453
WM,454
WAT,455
WEC,456
WFC,457
WDC,458
WU,459
WRK,460
WY,461
WHR,462
WMB,463
WLTW,464
WYN,465
WYNN,466
XEL,467
XRX,468
XLNX,469
XL,470
XYL,471
YUM,472
ZBH,473
ZION,474
ZTS,475
